osmid,y,x,highway,street_count,ref,junction,railway,geometry
108009619,-12.0989508,-77.0508474,traffic_signals,3,,,,POINT (-77.0508474 -12.0989508)
108009621,-12.0989277,-77.0506268,,3,,,,POINT (-77.0506268 -12.0989277)
108009622,-12.0988838,-77.0501075,,3,,,,POINT (-77.0501075 -12.0988838)
108009631,-12.098934,-77.046936,traffic_signals,3,,,,POINT (-77.046936 -12.098934)
108009632,-12.0991393,-77.0458625,,3,,,,POINT (-77.0458625 -12.0991393)
108009633,-12.0993494,-77.0447838,traffic_signals,3,,,,POINT (-77.0447838 -12.0993494)
108009634,-12.099543,-77.0437188,,3,,,,POINT (-77.0437188 -12.099543)
108009635,-12.099688,-77.042953,,3,,,,POINT (-77.042953 -12.099688)
108009636,-12.1001407,-77.0404726,,3,,,,POINT (-77.0404726 -12.1001407)
108009637,-12.1005621,-77.0382752,,3,,,,POINT (-77.0382752 -12.1005621)
108009638,-12.1007613,-77.0380757,traffic_signals,3,,,,POINT (-77.0380757 -12.1007613)
108013931,-12.0998589,-77.0377927,,4,,,,POINT (-77.0377927 -12.0998589)
108013935,-12.1034834,-77.0387335,traffic_signals,3,,,,POINT (-77.0387335 -12.1034834)
108013938,-12.1046002,-77.038961,,3,,,,POINT (-77.038961 -12.1046002)
108013939,-12.1048554,-77.0389904,,3,,,,POINT (-77.0389904 -12.1048554)
108013940,-12.1056627,-77.0390943,,4,,,,POINT (-77.0390943 -12.1056627)
108015861,-12.1068858,-77.034211,,4,,,,POINT (-77.034211 -12.1068858)
108015863,-12.105838,-77.0334054,,3,,,,POINT (-77.0334054 -12.105838)
108015864,-12.1046703,-77.0325061,,5,,,,POINT (-77.0325061 -12.1046703)
108016282,-12.1032755,-77.03048,traffic_signals,4,,,,POINT (-77.03048 -12.1032755)
108016283,-12.1034486,-77.0315185,traffic_signals,4,,,,POINT (-77.0315185 -12.1034486)
108018046,-12.1035564,-77.0315022,traffic_signals,4,,,,POINT (-77.0315022 -12.1035564)
108018049,-12.1033908,-77.0304618,traffic_signals,4,,,,POINT (-77.0304618 -12.1033908)
108018054,-12.1029558,-77.0276376,,4,,,,POINT (-77.0276376 -12.1029558)
108018055,-12.1028717,-77.0270455,,4,,,,POINT (-77.0270455 -12.1028717)
108018057,-12.1027107,-77.0255206,,4,,,,POINT (-77.0255206 -12.1027107)
108019293,-12.1023749,-77.0234771,,4,,,,POINT (-77.0234771 -12.1023749)
108019295,-12.1025843,-77.0255078,,4,,,,POINT (-77.0255078 -12.1025843)
108019300,-12.1027286,-77.0270229,,4,,,,POINT (-77.0270229 -12.1027286)
108019302,-12.1028209,-77.0276152,,4,,,,POINT (-77.0276152 -12.1028209)
108024265,-12.1083987,-77.0265706,,3,,,,POINT (-77.0265706 -12.1083987)
108024270,-12.1094991,-77.0264293,motorway_junction,3,7,,,POINT (-77.0264293 -12.1094991)
108025624,-12.1070413,-77.0267452,motorway_junction,3,4,,,POINT (-77.0267452 -12.1070413)
108029278,-12.101129,-77.0357991,,4,,,,POINT (-77.0357991 -12.101129)
108029280,-12.1010151,-77.0367955,traffic_signals,4,,,,POINT (-77.0367955 -12.1010151)
108029282,-12.1009416,-77.0373763,,4,,,,POINT (-77.0373763 -12.1009416)
108029613,-12.1016667,-77.0358603,,3,,,,POINT (-77.0358603 -12.1016667)
108029615,-12.1015413,-77.0368384,,3,,,,POINT (-77.0368384 -12.1015413)
108029955,-12.1020256,-77.0367679,,4,,,,POINT (-77.0367679 -12.1020256)
108029956,-12.1019185,-77.0375008,,4,,,,POINT (-77.0375008 -12.1019185)
108030818,-12.1008315,-77.0380995,traffic_signals,3,,,,POINT (-77.0380995 -12.1008315)
108030823,-12.1018051,-77.0384051,traffic_signals,3,,,,POINT (-77.0384051 -12.1018051)
108031454,-12.1025253,-77.0368386,,3,,,,POINT (-77.0368386 -12.1025253)
108031677,-12.1030301,-77.0369056,traffic_signals,4,,,,POINT (-77.0369056 -12.1030301)
108031679,-12.1029277,-77.0376396,,4,,,,POINT (-77.0376396 -12.1029277)
108035139,-12.1028096,-77.038545,,3,,,,POINT (-77.038545 -12.1028096)
108037776,-12.1000434,-77.0364995,,4,,,,POINT (-77.0364995 -12.1000434)
108037777,-12.0999488,-77.0372414,,4,,,,POINT (-77.0372414 -12.0999488)
108037782,-12.0992085,-77.0397426,,4,,,,POINT (-77.0397426 -12.0992085)
108037783,-12.0991766,-77.0398734,,4,,,,POINT (-77.0398734 -12.0991766)
108037786,-12.0987201,-77.0418654,,4,,,,POINT (-77.0418654 -12.0987201)
108037789,-12.0986916,-77.041982,,4,,,,POINT (-77.041982 -12.0986916)
108037790,-12.0983325,-77.0434869,,4,,,,POINT (-77.0434869 -12.0983325)
